date,underlying_price,strike_price,option_price,iv,dte,volume,profit
2024-01-28,109.59252546739239,115,1.9847996925157494,0.1501812279800843,23,766,1
2024-01-29,104.69389488723428,110,2.385956689227305,0.31061679863768693,23,789,1
2024-01-30,106.36749239479995,110,2.6433401703634756,0.2238538140798678,16,595,0
2024-01-31,99.53237783363451,110,2.4861397887948997,0.3098636151998221,9,167,1
2024-02-01,107.96668259641592,115,1.6274625687756468,0.23723433253367537,26,494,1
2024-02-02,113.94700929046354,110,1.7477219955653363,0.22879958486305998,26,275,0
2024-02-03,95.92480488131831,115,1.5839801178801287,0.3460621837076621,14,764,0
2024-02-04,98.51309679234053,105,3.3775945459349868,0.261679671404221,16,695,1
2024-02-05,108.35321796915396,105,2.822059828331676,0.3211758281142846,8,407,0
2024-02-06,97.84267168973122,100,2.6309109311131262,0.29230004267567355,9,839,0
2024-02-07,101.00708160801368,105,2.0791419377754514,0.33923042292011873,27,274,0
2024-02-08,106.3837047009894,110,2.1521086654718573,0.19128097639161426,16,158,1
2024-02-09,103.09276715675719,100,1.779441615324324,0.21751535034906677,26,968,0
2024-02-10,99.82060613581442,115,2.8458383927913564,0.31115399192031695,29,791,1
2024-02-11,107.26511703593984,115,2.6961507553015336,0.1811975986223396,22,272,1
2024-02-12,105.9604677944369,115,2.9166695912405487,0.1532933719868236,22,963,0
2024-02-13,102.49705587303394,100,3.738090761659487,0.15084743901007744,17,797,0
2024-02-14,105.46244937457956,110,1.5603969760139733,0.2059824985919794,26,214,0
2024-02-15,100.93484505065244,110,3.1947724049277926,0.30942930886604747,16,521,1
2024-02-16,96.22094588847017,105,2.558496312178323,0.3206518300512959,24,731,1
2024-02-17,100.5576915579072,105,3.5780361384742156,0.17083121711890484,18,761,1
2024-02-18,96.66499047841394,100,1.7589652056667182,0.31206031107376114,6,763,1
2024-02-19,107.58419169585764,105,2.159765012911297,0.3333488177460393,24,996,1
2024-02-20,101.1932376970448,100,2.542421701196454,0.24806672391030207,10,615,1
2024-02-21,99.65342271515627,105,3.638840727030572,0.21276364462628639,20,660,0
2024-02-22,102.39938424606663,100,3.646753668399302,0.22917221236010918,10,905,1
2024-02-23,105.35439525453428,105,3.2947370106320912,0.2884335284212811,19,515,1
2024-02-24,111.31040774912708,110,3.6620818340980366,0.15088563688588344,26,277,0
2024-02-25,101.13593756237918,110,2.6623135805017952,0.20459115036291858,27,432,1
2024-02-26,102.2370407677462,115,2.373183385847839,0.23390801716250026,8,130,0
2024-02-27,100.09525785280499,100,2.381414852863852,0.18390289712786373,15,889,1
2024-02-28,97.63156242919581,100,3.8475482339889,0.34078947617817973,5,163,0
2024-02-29,105.17069043964787,105,3.3455057480241432,0.23380089388129938,20,476,0
2024-03-01,111.7234056295143,105,2.9554217782995558,0.2216390269396617,13,193,0
2024-03-02,101.98210695085115,105,1.7261427853064502,0.24614194849018972,27,478,0
2024-03-03,109.6806882202,100,3.149648555746732,0.3478185508640885,29,266,0
2024-03-04,101.89481973217778,115,3.1034896993294967,0.2763187397444824,21,536,0
2024-03-05,96.12462020337263,115,1.7140947470797394,0.2919052593759055,11,278,0
2024-03-06,99.41175589818687,105,3.3023046507014975,0.30447337636447547,27,780,0
2024-03-07,96.87484795444466,105,2.1595668882853656,0.2997548652875264,22,633,1
2024-03-08,101.88368573280765,105,2.661054730517286,0.26588121704540474,14,574,0
2024-03-09,112.32351648278112,105,2.836402183696435,0.23742348130672208,9,554,1
2024-03-10,103.50655574692836,100,2.7642620441380252,0.1519837769046264,9,915,1
2024-03-11,112.94417069539726,105,3.2516114017739297,0.25299850301527094,12,169,0
2024-03-12,105.20756501188433,105,1.7739294180642216,0.19969623303786257,15,377,1
2024-03-13,103.5366272540704,110,3.654281938584515,0.2216983158903391,20,325,1
2024-03-14,100.44975319049487,105,3.22102329671438,0.1919576689487795,7,188,0
2024-03-15,96.33761573649811,100,2.9908214628936634,0.18917567737760654,16,736,0
2024-03-16,112.69999812301798,100,1.5350239654255766,0.1665726286712498,9,182,0
2024-03-17,114.13891476389642,105,2.8313642074612666,0.19362620094994124,9,164,0
2024-03-18,101.97462361809632,100,2.1111304616172735,0.15796339835313625,27,336,1
2024-03-19,103.43622968181306,110,2.4580935282196723,0.26600181907470777,8,821,1
2024-03-20,105.2466395477057,110,3.6097934507595846,0.19422287517616288,28,706,0
2024-03-21,102.43752390490984,115,1.9941291225793398,0.20081498776450576,20,759,0
2024-03-22,114.70735209984485,105,1.6664393889055935,0.29581662266657505,21,289,0
2024-03-23,112.7859296028037,105,2.926466554335652,0.34239529151687154,5,837,0
2024-03-24,108.07878285429135,110,3.191994949445909,0.2777479118268499,27,908,0
2024-03-25,108.69729472404376,110,1.7188129017372158,0.1716659017396899,12,455,0
2024-03-26,97.54130880384878,100,3.6180800060800604,0.27486847544479837,23,608,1
2024-03-27,108.51755477221732,105,3.7872834730903637,0.2918660820034201,11,499,0
2024-03-28,100.25844488535041,110,2.587281430567353,0.21781505337229773,25,376,1
2024-03-29,110.0576097912353,105,3.467911897344171,0.22002854168017585,26,533,0
2024-03-30,109.2056825888972,100,3.57845820355853,0.18342330121351919,19,221,0
2024-03-31,112.83149233167954,115,3.0259815565033144,0.2528682636655645,8,836,1
2024-04-01,97.4053793126579,110,2.8693582240553948,0.179583065380843,21,360,0
2024-04-02,103.37399006241355,115,2.811029952339255,0.259901375355783,18,449,1
2024-04-03,97.89192736856378,110,3.504624075576789,0.2630631700411915,13,418,0
2024-04-04,107.72815170181308,110,2.2718488707886633,0.2927844652100292,21,837,1
2024-04-05,99.93737983817248,110,3.793711719885537,0.17523526937311917,16,368,0
2024-04-06,96.52353025953943,105,2.4914452442556003,0.3469224810390178,24,678,0
2024-04-07,97.00376688490131,110,2.778519094540719,0.17469358757128517,20,476,1
2024-04-08,98.10535070440754,100,2.444855624919693,0.28030824647171465,24,246,1
2024-04-09,108.38176110466979,100,3.980413848704289,0.16548028712349208,19,774,1
